Country,Currency Type,Business Line,Team/Business Unit,Year,Cycle,Terr ID,Emp ID,Emp_Name,Role_Name,Product Name,Metric Type,Product wt,Metric/sales-non sales,Plan Type,Targets,Sales,Attainment,Achievement,Product Target_pay,Eligibility,Product level Payout,FLM_Flag,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q1-2025,ERJAGO786,ERJAGO786,ERJAGO786,REP,Superguard Injection,Currency,0.5,Sales,SvT - Currency,1126872,1007955.284,0.89,0.4,1000,1,440,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q2-2024,E AN B786,E AN B786,E AN B786,REP,RituxanCream,Currency,0.5,Sales,SvT - Currency,1126872,1007955.284,0.89,0.4,1000,0,0,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,DTJEAN786,DTJEAN786,DTJEAN786,REP,Macroplus Ointment,Currency,0.35,Sales,SvT - Currency,1126872,1007955.284,0.89,0.4,997.5,1,438.9,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,C1-2022,ONJEAN786,ONJEAN786,ONJEAN786,FLM,Renalcare Gel,Currency,0.5,Sales,SvT - Currency,1126872,1007955.284,0.89,0.4,1800,1,792,1,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q1-2021,ERJAGO786,ERJAGO786,ERJAGO786,REP,GastroZantactotal,Currency,0.5,Sales,SvT - Currency,360599,352357.9691,0.98,0.9,1000,1,990,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q2-2025,E AN B786,E AN B786,E AN B786,REP,Gastrorelief Powder,Currency,0.5,Sales,SvT - Currency,371868,261695.2139,0.7,0,1000,0,0,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,C1-2024,DTJEAN786,DTJEAN786,DTJEAN786,REP,CymbaltaSyrup,Currency,0.35,Sales,SvT - Currency,394405,393902.101,1,1,997.5,1,1097.25,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,C1-2023,ONJEAN786,ONJEAN786,ONJEAN786,FLM,Multiguard Capsule,Currency,0.5,Sales,SvT - Currency,1126872,1007955.284,0.89,0.4,1800,1,792,1,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q1-2022,ENKRIS786,ENKRIS786,ENKRIS786,REP,CardioCymbaltaboost,Currency,0.25,Sales,SvT - Currency,2120368,1890122.365,0.89,0.4,712.5,1,313.5,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q2-2021,DTJEAN786,DTJEAN786,DTJEAN786,REP,CardioCymbaltaboost,Currency,0.15,Sales,SvT - Currency,2120368,1890122.365,0.89,0.4,427.5,1,188.1,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q3-2025,ENKRIS786,ENKRIS786,ENKRIS786,REP,AriceptLotion,Currency,0.25,Sales,SvT - Currency,1288028,1064902.904,0.83,0.4,712.5,1,313.5,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,C3-2024,DTJEAN786,DTJEAN786,DTJEAN786,REP,GynecoZantacactive,Currency,0.15,Sales,SvT - Currency,832340,825219.4608,0.99,0.95,427.5,1,446.7375,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q1-2023,ENKRIS786,ENKRIS786,ENKRIS786,REP,Pneumoheal Lotion,Currency,0.1,Sales,SvT - Currency,203790,193399.9543,0.95,0.75,285,1,235.125,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q2-2022,ETALIN786,ETALIN786,ETALIN786,FLM,Immunorelief Lotion,Currency,0.2,Sales,SvT - Currency,203790,193399.9543,0.95,0.75,720,1,594,1,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q3-2021,ERKOEN786,ERKOEN786,ERKOEN786,REP,AvastinCream,Currency,0.3,Sales,SvT - Currency,2621428.813,2463323.077,0.94,0.7,855,1,658.35,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,C1-2025,ENJO V786,ENJO V786,ENJO V786,REP,Multirapid Gel,Currency,0.3,Sales,SvT - Currency,2621428.813,2463323.077,0.94,0.7,855,1,658.35,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q1-2024,ICLAUR786,ICLAUR786,ICLAUR786,REP,Pediamax Lotion,Currency,0.3,Sales,SvT - Currency,2621428.813,2463323.077,0.94,0.7,855,1,658.35,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q2-2023,KXEMIL786,KXEMIL786,KXEMIL786,FLM,AriceptLotion,Currency,0.3,Sales,SvT - Currency,2621428.813,2463323.077,0.94,0.7,1080,1,831.6,1,FLM
UK,British Pound (GBP),BL-D,Team3,2022,C3-2022,ERKOEN786,ERKOEN786,ERKOEN786,REP,MacroZantacnatural,Currency,0.3,Sales,SvT - Currency,865071.5082,911143.3305,1.05,1.17,855,1,1097.25,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q4-2021,ENJO V786,ENJO V786,ENJO V786,REP,Pediacure Spray,Currency,0.3,Sales,SvT - Currency,760214.3557,659116.7979,0.87,0.4,855,1,376.2,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q1-2025,ICLAUR786,ICLAUR786,ICLAUR786,REP,Pediamax Lotion,Currency,0.3,Sales,SvT - Currency,996142.9488,893062.9488,0.9,0.5,855,1,470.25,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q2-2024,KXEMIL786,KXEMIL786,KXEMIL786,FLM,Urorapid Syrup,Currency,0.3,Sales,SvT - Currency,2621428.813,2463323.077,0.94,0.7,1080,1,831.6,1,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,ERKOEN786,ERKOEN786,ERKOEN786,REP,AbilifyPowder,Others,0.28,Non-Sales,Others,1,1,1,1.1,798,1,965.58,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q4-2022,ENJO V786,ENJO V786,ENJO V786,REP,Gastrorelief Powder,Others,0.28,Non-Sales,Others,1,1,1,1.1,798,1,965.58,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q1-2021,ICLAUR786,ICLAUR786,ICLAUR786,REP,Renalheal Lotion,Others,0.28,Non-Sales,Others,4,4,1,1.1,798,1,965.58,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q2-2025,KXEMIL786,KXEMIL786,KXEMIL786,FLM,ActosSpray,Others,0.28,Non-Sales,Others,6,6,1,1.1,1008,1,1219.68,1,FLM
UK,British Pound (GBP),BL-D,Team4,2024,C2-2024,ERKOEN786,ERKOEN786,ERKOEN786,REP,SeroquelInjection,Others,0.12,Non-Sales,Others,1,0,0,0,798,1,0,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q4-2023,ENJO V786,ENJO V786,ENJO V786,REP,AvastinCream,Others,0.12,Non-Sales,Others,1,0,0,0,798,1,0,0,FLM
